session,exp,avg_conv_f1,avg_speaker_wer,avg_joint_error,model,timestamp
session_132,output_pp_qwen3_8b_final_bs12_len20,1,0.5326,0.2663,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:34:38
session_133,output_pp_qwen3_8b_final_bs12_len20,1,0.4766666666666666,0.2383333333333333,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:34:51
session_134,output_pp_qwen3_8b_final_bs12_len20,1,0.4823,0.24115,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:35:05
session_135,output_pp_qwen3_8b_final_bs12_len20,1,0.48248,0.34124,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:35:18
session_136,output_pp_qwen3_8b_final_bs12_len20,1,0.47905,0.239525,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:35:32
session_137,output_pp_qwen3_8b_final_bs12_len20,0.5,0.4828333333333333,0.5191916666666666,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:35:45
session_138,output_pp_qwen3_8b_final_bs12_len20,0.6153846153846153,0.52285,0.4503083333333334,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:35:58
session_139,output_pp_qwen3_8b_final_bs12_len20,0.5,0.4937,0.524625,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:36:11
session_140,output_pp_qwen3_8b_final_bs12_len20,0.5714285714285715,0.4826166666666666,0.4556083333333334,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:36:25
session_141,output_pp_qwen3_8b_final_bs12_len20,0.5714285714285715,0.59942,0.5197000000000001,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:36:39
session_40,output_pp_qwen3_8b_final_bs12_len20,1,0.4767833333333333,0.2383916666666667,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:36:57
session_41,output_pp_qwen3_8b_final_bs12_len20,1,0.4806666666666666,0.2403333333333333,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:37:11
session_42,output_pp_qwen3_8b_final_bs12_len20,1,0.5192666666666667,0.2596333333333333,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:37:24
session_43,output_pp_qwen3_8b_final_bs12_len20,1,0.4688499999999999,0.234425,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:37:42
session_44,output_pp_qwen3_8b_final_bs12_len20,0.6,0.5731166666666667,0.453225,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:37:56
session_48,output_pp_qwen3_8b_final_bs12_len20,1,0.5023,0.4178166666666667,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:38:09
session_49,output_pp_qwen3_8b_final_bs12_len20,1,0.4376,0.2188,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:38:26
session_50,output_pp_qwen3_8b_final_bs12_len20,0.5714285714285715,0.5109500000000001,0.469775,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:38:44
session_51,output_pp_qwen3_8b_final_bs12_len20,1,0.4659499999999999,0.232975,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:38:59
session_52,output_pp_qwen3_8b_final_bs12_len20,0.5,0.4897166666666666,0.5226333333333333,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:39:12
session_53,output_pp_qwen3_8b_final_bs12_len20,1,0.4891,0.24455,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:39:25
session_54,output_pp_qwen3_8b_final_bs12_len20,0.6666666666666666,0.57988,0.4566,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:39:42
session_55,output_pp_qwen3_8b_final_bs12_len20,0.2857142857142858,0.47612,0.6380600000000001,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:39:56
session_56,output_pp_qwen3_8b_final_bs12_len20,1,0.5279750000000001,0.2639875,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:40:09
session_57,output_pp_qwen3_8b_final_bs12_len20,1,0.43548,0.21774,pp_qwen3_8b_final_bs12_len20,2026-01-30T15:40:23
