session,exp,avg_conv_f1,avg_speaker_wer,avg_joint_error,model,timestamp
session_132,output_pp_qwen3_8b_v3_bs12_len20,1,0.5321166666666667,0.2660583333333333,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:32:08
session_133,output_pp_qwen3_8b_v3_bs12_len20,1,0.4782999999999999,0.23915,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:32:21
session_134,output_pp_qwen3_8b_v3_bs12_len20,1,0.4825166666666667,0.2412583333333334,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:32:35
session_135,output_pp_qwen3_8b_v3_bs12_len20,1,0.48032,0.34016,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:32:49
session_136,output_pp_qwen3_8b_v3_bs12_len20,1,0.4803666666666667,0.2401833333333333,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:33:01
session_137,output_pp_qwen3_8b_v3_bs12_len20,0.5,0.48315,0.5193500000000001,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:33:13
session_138,output_pp_qwen3_8b_v3_bs12_len20,0.6153846153846153,0.5212666666666667,0.4495166666666667,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:33:26
session_139,output_pp_qwen3_8b_v3_bs12_len20,0.5,0.4927,0.5241250000000001,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:33:39
session_140,output_pp_qwen3_8b_v3_bs12_len20,0.5714285714285715,0.4800833333333334,0.4543416666666667,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:33:53
session_141,output_pp_qwen3_8b_v3_bs12_len20,0.5714285714285715,0.60146,0.5207200000000001,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:34:06
session_40,output_pp_qwen3_8b_v3_bs12_len20,1,0.4776833333333333,0.2388416666666666,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:34:25
session_41,output_pp_qwen3_8b_v3_bs12_len20,1,0.4821333333333334,0.2410666666666667,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:34:38
session_42,output_pp_qwen3_8b_v3_bs12_len20,1,0.5185666666666666,0.2592833333333333,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:34:52
session_43,output_pp_qwen3_8b_v3_bs12_len20,1,0.46895,0.234475,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:35:11
session_44,output_pp_qwen3_8b_v3_bs12_len20,0.6,0.5751499999999999,0.4542416666666667,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:35:26
session_48,output_pp_qwen3_8b_v3_bs12_len20,1,0.5034,0.4183666666666667,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:35:39
session_49,output_pp_qwen3_8b_v3_bs12_len20,1,0.4378666666666667,0.2189333333333333,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:35:58
session_50,output_pp_qwen3_8b_v3_bs12_len20,0.5714285714285715,0.5099333333333333,0.4692666666666667,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:36:17
session_51,output_pp_qwen3_8b_v3_bs12_len20,1,0.4652166666666667,0.2326083333333333,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:36:30
session_52,output_pp_qwen3_8b_v3_bs12_len20,0.5,0.49535,0.5254500000000001,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:36:43
session_53,output_pp_qwen3_8b_v3_bs12_len20,1,0.48958,0.24479,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:36:56
session_54,output_pp_qwen3_8b_v3_bs12_len20,0.6666666666666666,0.5787800000000001,0.45605,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:37:15
session_55,output_pp_qwen3_8b_v3_bs12_len20,0.2857142857142858,0.4757000000000001,0.63785,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:37:27
session_56,output_pp_qwen3_8b_v3_bs12_len20,1,0.5286500000000001,0.264325,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:37:40
session_57,output_pp_qwen3_8b_v3_bs12_len20,1,0.45124,0.22562,pp_qwen3_8b_v3_bs12_len20,2026-01-31T05:37:54
