session,exp,avg_conv_f1,avg_speaker_wer,avg_joint_error,model,timestamp
session_40,output_E56_bugfix_default_bs12_len20,1,0.50915,0.254575,E56_bugfix_default_bs12_len20,2026-02-05T04:37:25
session_40,output_E57_bugfix_mdOn0p4_mdOff0p5_bs12_len20,1,0.50915,0.254575,E57_bugfix_mdOn0p4_mdOff0p5_bs12_len20,2026-02-05T04:37:25
session_40,output_E58_bugfix_mdOn0p4_mdOff0p8_bs12_len20,1,0.49645,0.248225,E58_bugfix_mdOn0p4_mdOff0p8_bs12_len20,2026-02-05T04:37:25
session_40,output_E59_bugfix_mdOn0p4_mdOff1p0_bs12_len20,1,0.47705,0.238525,E59_bugfix_mdOn0p4_mdOff1p0_bs12_len20,2026-02-05T04:37:25
session_40,output_E60_bugfix_mdOn0p4_mdOff1p2_bs12_len20,1,0.4659,0.23295,E60_bugfix_mdOn0p4_mdOff1p2_bs12_len20,2026-02-05T04:37:25
session_40,output_E61_bugfix_mdOn0p6_mdOff0p5_bs12_len20,1,0.5088166666666666,0.2544083333333333,E61_bugfix_mdOn0p6_mdOff0p5_bs12_len20,2026-02-05T04:37:25
session_40,output_E62_bugfix_mdOn0p6_mdOff0p8_bs12_len20,1,0.4961166666666666,0.2480583333333333,E62_bugfix_mdOn0p6_mdOff0p8_bs12_len20,2026-02-05T04:37:25
session_40,output_E63_bugfix_mdOn0p6_mdOff1p0_bs12_len20,1,0.4767166666666667,0.2383583333333334,E63_bugfix_mdOn0p6_mdOff1p0_bs12_len20,2026-02-05T04:37:25
session_40,output_E64_bugfix_mdOn0p6_mdOff1p2_bs12_len20,1,0.4655666666666667,0.2327833333333333,E64_bugfix_mdOn0p6_mdOff1p2_bs12_len20,2026-02-05T04:37:25
session_40,output_E65_bugfix_mdOn0p8_mdOff0p5_bs12_len20,1,0.5088166666666666,0.2544083333333333,E65_bugfix_mdOn0p8_mdOff0p5_bs12_len20,2026-02-05T04:37:25
session_40,output_E66_bugfix_mdOn0p8_mdOff0p8_bs12_len20,1,0.4961166666666666,0.2480583333333333,E66_bugfix_mdOn0p8_mdOff0p8_bs12_len20,2026-02-05T04:37:25
session_40,output_E67_bugfix_mdOn0p8_mdOff1p0_bs12_len20,1,0.4767166666666667,0.2383583333333334,E67_bugfix_mdOn0p8_mdOff1p0_bs12_len20,2026-02-05T04:37:25
session_40,output_E68_bugfix_mdOn0p8_mdOff1p2_bs12_len20,1,0.4655666666666667,0.2327833333333333,E68_bugfix_mdOn0p8_mdOff1p2_bs12_len20,2026-02-05T04:37:25
session_40,output_E69_bugfix_mdOn1p0_mdOff0p5_bs12_len20,1,0.50915,0.254575,E69_bugfix_mdOn1p0_mdOff0p5_bs12_len20,2026-02-05T04:37:25
session_40,output_E70_bugfix_mdOn1p0_mdOff0p8_bs12_len20,1,0.49645,0.248225,E70_bugfix_mdOn1p0_mdOff0p8_bs12_len20,2026-02-05T04:37:25
session_40,output_E71_bugfix_mdOn1p0_mdOff1p0_bs12_len20,1,0.47705,0.238525,E71_bugfix_mdOn1p0_mdOff1p0_bs12_len20,2026-02-05T04:37:25
session_40,output_E72_bugfix_mdOn1p0_mdOff1p2_bs12_len20,1,0.4659,0.23295,E72_bugfix_mdOn1p0_mdOff1p2_bs12_len20,2026-02-05T04:37:25
session_43,output_E56_bugfix_default_bs12_len20,1,0.4984333333333333,0.2492166666666666,E56_bugfix_default_bs12_len20,2026-02-05T04:37:48
session_43,output_E57_bugfix_mdOn0p4_mdOff0p5_bs12_len20,1,0.4970000000000001,0.2485,E57_bugfix_mdOn0p4_mdOff0p5_bs12_len20,2026-02-05T04:37:48
session_43,output_E58_bugfix_mdOn0p4_mdOff0p8_bs12_len20,1,0.48295,0.241475,E58_bugfix_mdOn0p4_mdOff0p8_bs12_len20,2026-02-05T04:37:48
session_43,output_E59_bugfix_mdOn0p4_mdOff1p0_bs12_len20,1,0.46835,0.234175,E59_bugfix_mdOn0p4_mdOff1p0_bs12_len20,2026-02-05T04:37:48
session_43,output_E60_bugfix_mdOn0p4_mdOff1p2_bs12_len20,1,0.46905,0.234525,E60_bugfix_mdOn0p4_mdOff1p2_bs12_len20,2026-02-05T04:37:48
session_43,output_E61_bugfix_mdOn0p6_mdOff0p5_bs12_len20,1,0.4974666666666667,0.2487333333333333,E61_bugfix_mdOn0p6_mdOff0p5_bs12_len20,2026-02-05T04:37:48
session_43,output_E62_bugfix_mdOn0p6_mdOff0p8_bs12_len20,1,0.4834000000000001,0.2417,E62_bugfix_mdOn0p6_mdOff0p8_bs12_len20,2026-02-05T04:37:48
session_43,output_E63_bugfix_mdOn0p6_mdOff1p0_bs12_len20,1,0.46835,0.234175,E63_bugfix_mdOn0p6_mdOff1p0_bs12_len20,2026-02-05T04:37:48
session_43,output_E64_bugfix_mdOn0p6_mdOff1p2_bs12_len20,1,0.46905,0.234525,E64_bugfix_mdOn0p6_mdOff1p2_bs12_len20,2026-02-05T04:37:48
session_43,output_E65_bugfix_mdOn0p8_mdOff0p5_bs12_len20,1,0.4982,0.2491,E65_bugfix_mdOn0p8_mdOff0p5_bs12_len20,2026-02-05T04:37:48
session_43,output_E66_bugfix_mdOn0p8_mdOff0p8_bs12_len20,1,0.4841333333333334,0.2420666666666667,E66_bugfix_mdOn0p8_mdOff0p8_bs12_len20,2026-02-05T04:37:48
session_43,output_E67_bugfix_mdOn0p8_mdOff1p0_bs12_len20,1,0.4688499999999999,0.234425,E67_bugfix_mdOn0p8_mdOff1p0_bs12_len20,2026-02-05T04:37:48
session_43,output_E68_bugfix_mdOn0p8_mdOff1p2_bs12_len20,1,0.4695499999999999,0.234775,E68_bugfix_mdOn0p8_mdOff1p2_bs12_len20,2026-02-05T04:37:48
session_43,output_E69_bugfix_mdOn1p0_mdOff0p5_bs12_len20,1,0.4984333333333333,0.2492166666666666,E69_bugfix_mdOn1p0_mdOff0p5_bs12_len20,2026-02-05T04:37:48
session_43,output_E70_bugfix_mdOn1p0_mdOff0p8_bs12_len20,1,0.4843666666666667,0.2421833333333333,E70_bugfix_mdOn1p0_mdOff0p8_bs12_len20,2026-02-05T04:37:48
session_43,output_E71_bugfix_mdOn1p0_mdOff1p0_bs12_len20,1,0.4688499999999999,0.234425,E71_bugfix_mdOn1p0_mdOff1p0_bs12_len20,2026-02-05T04:37:48
session_43,output_E72_bugfix_mdOn1p0_mdOff1p2_bs12_len20,1,0.4695499999999999,0.234775,E72_bugfix_mdOn1p0_mdOff1p2_bs12_len20,2026-02-05T04:37:48
session_49,output_E56_bugfix_default_bs12_len20,1,0.4645333333333333,0.2322666666666666,E56_bugfix_default_bs12_len20,2026-02-05T04:38:09
session_49,output_E57_bugfix_mdOn0p4_mdOff0p5_bs12_len20,1,0.46255,0.231275,E57_bugfix_mdOn0p4_mdOff0p5_bs12_len20,2026-02-05T04:38:09
session_49,output_E58_bugfix_mdOn0p4_mdOff0p8_bs12_len20,1,0.4635,0.23175,E58_bugfix_mdOn0p4_mdOff0p8_bs12_len20,2026-02-05T04:38:09
session_49,output_E59_bugfix_mdOn0p4_mdOff1p0_bs12_len20,1,0.4367333333333334,0.2183666666666667,E59_bugfix_mdOn0p4_mdOff1p0_bs12_len20,2026-02-05T04:38:09
session_49,output_E60_bugfix_mdOn0p4_mdOff1p2_bs12_len20,1,0.4314333333333333,0.2157166666666667,E60_bugfix_mdOn0p4_mdOff1p2_bs12_len20,2026-02-05T04:38:09
session_49,output_E61_bugfix_mdOn0p6_mdOff0p5_bs12_len20,1,0.46415,0.232075,E61_bugfix_mdOn0p6_mdOff0p5_bs12_len20,2026-02-05T04:38:09
session_49,output_E62_bugfix_mdOn0p6_mdOff0p8_bs12_len20,1,0.4651166666666667,0.2325583333333333,E62_bugfix_mdOn0p6_mdOff0p8_bs12_len20,2026-02-05T04:38:09
session_49,output_E63_bugfix_mdOn0p6_mdOff1p0_bs12_len20,1,0.43835,0.219175,E63_bugfix_mdOn0p6_mdOff1p0_bs12_len20,2026-02-05T04:38:09
session_49,output_E64_bugfix_mdOn0p6_mdOff1p2_bs12_len20,1,0.43305,0.216525,E64_bugfix_mdOn0p6_mdOff1p2_bs12_len20,2026-02-05T04:38:09
session_49,output_E65_bugfix_mdOn0p8_mdOff0p5_bs12_len20,1,0.4645333333333333,0.2322666666666666,E65_bugfix_mdOn0p8_mdOff0p5_bs12_len20,2026-02-05T04:38:09
session_49,output_E66_bugfix_mdOn0p8_mdOff0p8_bs12_len20,1,0.4655,0.23275,E66_bugfix_mdOn0p8_mdOff0p8_bs12_len20,2026-02-05T04:38:09
session_49,output_E67_bugfix_mdOn0p8_mdOff1p0_bs12_len20,1,0.4387333333333334,0.2193666666666667,E67_bugfix_mdOn0p8_mdOff1p0_bs12_len20,2026-02-05T04:38:09
session_49,output_E68_bugfix_mdOn0p8_mdOff1p2_bs12_len20,1,0.4334333333333333,0.2167166666666667,E68_bugfix_mdOn0p8_mdOff1p2_bs12_len20,2026-02-05T04:38:09
session_49,output_E69_bugfix_mdOn1p0_mdOff0p5_bs12_len20,1,0.4645333333333333,0.2322666666666666,E69_bugfix_mdOn1p0_mdOff0p5_bs12_len20,2026-02-05T04:38:09
session_49,output_E70_bugfix_mdOn1p0_mdOff0p8_bs12_len20,1,0.4655,0.23275,E70_bugfix_mdOn1p0_mdOff0p8_bs12_len20,2026-02-05T04:38:09
session_49,output_E71_bugfix_mdOn1p0_mdOff1p0_bs12_len20,1,0.4387333333333334,0.2193666666666667,E71_bugfix_mdOn1p0_mdOff1p0_bs12_len20,2026-02-05T04:38:09
session_49,output_E72_bugfix_mdOn1p0_mdOff1p2_bs12_len20,1,0.4334333333333333,0.2167166666666667,E72_bugfix_mdOn1p0_mdOff1p2_bs12_len20,2026-02-05T04:38:09
session_50,output_E56_bugfix_default_bs12_len20,0.5714285714285715,0.5483833333333333,0.4884916666666667,E56_bugfix_default_bs12_len20,2026-02-05T04:38:31
session_50,output_E57_bugfix_mdOn0p4_mdOff0p5_bs12_len20,0.5714285714285715,0.5477166666666667,0.4881583333333333,E57_bugfix_mdOn0p4_mdOff0p5_bs12_len20,2026-02-05T04:38:31
session_50,output_E58_bugfix_mdOn0p4_mdOff0p8_bs12_len20,0.5714285714285715,0.53705,0.482825,E58_bugfix_mdOn0p4_mdOff0p8_bs12_len20,2026-02-05T04:38:31
session_50,output_E59_bugfix_mdOn0p4_mdOff1p0_bs12_len20,0.5714285714285715,0.5122666666666668,0.4704333333333333,E59_bugfix_mdOn0p4_mdOff1p0_bs12_len20,2026-02-05T04:38:31
session_50,output_E60_bugfix_mdOn0p4_mdOff1p2_bs12_len20,0.5714285714285715,0.5077333333333334,0.4681666666666666,E60_bugfix_mdOn0p4_mdOff1p2_bs12_len20,2026-02-05T04:38:31
session_50,output_E61_bugfix_mdOn0p6_mdOff0p5_bs12_len20,0.5714285714285715,0.5480833333333334,0.4883416666666667,E61_bugfix_mdOn0p6_mdOff0p5_bs12_len20,2026-02-05T04:38:31
session_50,output_E62_bugfix_mdOn0p6_mdOff0p8_bs12_len20,0.5714285714285715,0.5374166666666667,0.4830083333333333,E62_bugfix_mdOn0p6_mdOff0p8_bs12_len20,2026-02-05T04:38:31
session_50,output_E63_bugfix_mdOn0p6_mdOff1p0_bs12_len20,0.5714285714285715,0.5122666666666668,0.4704333333333333,E63_bugfix_mdOn0p6_mdOff1p0_bs12_len20,2026-02-05T04:38:31
session_50,output_E64_bugfix_mdOn0p6_mdOff1p2_bs12_len20,0.5714285714285715,0.5077333333333334,0.4681666666666666,E64_bugfix_mdOn0p6_mdOff1p2_bs12_len20,2026-02-05T04:38:31
session_50,output_E65_bugfix_mdOn0p8_mdOff0p5_bs12_len20,0.5714285714285715,0.54635,0.487475,E65_bugfix_mdOn0p8_mdOff0p5_bs12_len20,2026-02-05T04:38:31
session_50,output_E66_bugfix_mdOn0p8_mdOff0p8_bs12_len20,0.5714285714285715,0.5356666666666666,0.4821333333333334,E66_bugfix_mdOn0p8_mdOff0p8_bs12_len20,2026-02-05T04:38:31
session_50,output_E67_bugfix_mdOn0p8_mdOff1p0_bs12_len20,0.5714285714285715,0.5105166666666666,0.4695583333333333,E67_bugfix_mdOn0p8_mdOff1p0_bs12_len20,2026-02-05T04:38:31
session_50,output_E68_bugfix_mdOn0p8_mdOff1p2_bs12_len20,0.5714285714285715,0.5073833333333333,0.4679916666666666,E68_bugfix_mdOn0p8_mdOff1p2_bs12_len20,2026-02-05T04:38:31
session_50,output_E69_bugfix_mdOn1p0_mdOff0p5_bs12_len20,0.5714285714285715,0.5483833333333333,0.4884916666666667,E69_bugfix_mdOn1p0_mdOff0p5_bs12_len20,2026-02-05T04:38:31
session_50,output_E70_bugfix_mdOn1p0_mdOff0p8_bs12_len20,0.5714285714285715,0.5377166666666667,0.4831583333333334,E70_bugfix_mdOn1p0_mdOff0p8_bs12_len20,2026-02-05T04:38:31
