seg_hash,clust_hash,AVG_SPEAKER_F1,AVG_CONV_F1,AVG_ARI,perfect_sessions,created,clus_linkage,clus_metric,clus_threshold,segm_max_chunk_size,segm_min_chunk_size,segm_min_duration_off,segm_min_duration_on,segm_offset,segm_onset,s00_eva,s00_conf,s01_eva,s01_conf,s02_eva,s02_conf,s03_eva,s03_conf,s04_eva,s04_conf,s22_eva,s22_conf,s23_eva,s23_conf,s24_eva,s24_conf,s25_eva,s25_conf,s26_eva,s26_conf,s27_eva,s27_conf,s28_eva,s28_conf,s29_eva,s29_conf,s30_eva,s30_conf,s45_eva,s45_conf,s46_eva,s46_conf,s47_eva,s47_conf,s58_eva,s58_conf,s59_eva,s59_conf,s60_eva,s60_conf,s61_eva,s61_conf,s62_eva,s62_conf,s63_eva,s63_conf,s64_eva,s64_conf,s65_eva,s65_conf,s66_eva,s66_conf,s67_eva,s67_conf,s68_eva,s68_conf,s69_eva,s69_conf,s70_eva,s70_conf,s71_eva,s71_conf,s72_eva,s72_conf,s83_eva,s83_conf,s84_eva,s84_conf,s85_eva,s85_conf,s86_eva,s86_conf,s87_eva,s87_conf,s88_eva,s88_conf,s89_eva,s89_conf,s90_eva,s90_conf,s91_eva,s91_conf,s92_eva,s92_conf,s93_eva,s93_conf,s94_eva,s94_conf,s95_eva,s95_conf,s96_eva,s96_conf,s97_eva,s97_conf,s98_eva,s98_conf,s99_eva,s99_conf,s100_eva,s100_conf,s101_eva,s101_conf,s102_eva,s102_conf,s103_eva,s103_conf,s104_eva,s104_conf,s105_eva,s105_conf,s106_eva,s106_conf
0138d826,35264ba4,0.8002,0.8741837889001755,0.7891249255726986,35,2026-01-28T16:20:35.970085,complete,precomputed,0.7,10,1,0.68,1.0,0.8,1.0,1,0.7981,1,0.836,1,0.8684,1,0.9141,1,0.8337,1,0.8213,1,0.8376,1,0.7864,0,0.9008,1,0.8837,1,0.7988,1,0.8183,1,0.8712,0,0.8384,1,0.916,1,0.8637,0,0.7461,0,0.7887,0,0.7934,0,0.8609,0,0.7848,0,0.823,0,0.7164,0,0.7125,1,0.8154,1,0.7348,1,0.7206,1,0.8292,1,0.8671,1,0.8754,1,0.7251,1,0.823,0,0.7133,1,0.7557,1,0.7389,0,0.7775,1,0.7982,0,0.8226,0,0.8657,1,0.7797,1,0.815,0,0.7278,1,0.8567,1,0.8481,1,0.9115,1,0.7713,1,0.8494,0,0.7978,1,0.7844,1,0.7798,1,0.7741,0,0.8508,0,0.8755,0,0.8261,0,0.8766,0,0.854
6284fc7d,35264ba4,0.8002,0.8741837889001755,0.7891249255726986,35,2026-01-28T16:20:36.307426,complete,precomputed,0.7,10,1,0.76,1.0,0.8,1.0,1,0.7952,1,0.836,1,0.8684,1,0.9141,1,0.8337,1,0.8218,1,0.8376,1,0.7869,0,0.9011,1,0.884,1,0.7988,1,0.8183,1,0.8712,0,0.8384,1,0.916,1,0.8637,0,0.7469,0,0.7794,0,0.7934,0,0.8609,0,0.7848,0,0.8199,0,0.7173,0,0.7134,1,0.8116,1,0.7348,1,0.7184,1,0.8272,1,0.8671,1,0.8754,1,0.7251,1,0.8198,0,0.7133,1,0.7537,1,0.7366,0,0.7775,1,0.7986,0,0.8226,0,0.8664,1,0.7797,1,0.8168,0,0.7237,1,0.8567,1,0.8439,1,0.9115,1,0.7692,1,0.8501,0,0.7978,1,0.7821,1,0.7798,1,0.7748,0,0.8511,0,0.8759,0,0.827,0,0.877,0,0.8485
3febe747,35264ba4,0.799,0.8702413028148321,0.7751497702931954,35,2026-01-28T16:20:36.270721,complete,precomputed,0.7,10,1,0.2,1.0,0.8,1.0,1,0.7968,1,0.8368,1,0.872,1,0.9254,1,0.8354,1,0.8244,1,0.8369,1,0.7865,0,0.9026,1,0.8819,1,0.8033,1,0.8225,1,0.8704,0,0.8376,1,0.9196,1,0.8673,0,0.757,0,0.7862,0,0.7942,0,0.8678,0,0.7887,0,0.823,0,0.7189,0,0.7118,0,0.7131,1,0.7497,1,0.7343,1,0.8316,1,0.8709,1,0.8746,1,0.7245,1,0.822,0,0.7178,1,0.7589,1,0.747,0,0.7811,1,0.8011,0,0.8214,0,0.8698,1,0.7821,1,0.8146,0,0.7266,1,0.8582,1,0.848,1,0.913,1,0.7795,1,0.8482,0,0.808,1,0.7868,1,0.7849,1,0.7907,0,0.8502,0,0.8803,0,0.8279,0,0.8781,1,0.7021
7d1e6bf2,35264ba4,0.799,0.8702413028148321,0.7751497702931954,35,2026-01-28T16:20:36.418373,complete,precomputed,0.7,10,1,0.28,1.0,0.8,1.0,1,0.7968,1,0.8368,1,0.872,1,0.9254,1,0.8354,1,0.8244,1,0.8372,1,0.7867,0,0.9026,1,0.882,1,0.8037,1,0.8225,1,0.8705,0,0.838,1,0.9196,1,0.8673,0,0.757,0,0.7862,0,0.7942,0,0.8678,0,0.789,0,0.823,0,0.7189,0,0.7118,0,0.7131,1,0.7497,1,0.7332,1,0.8316,1,0.8709,1,0.8747,1,0.7234,1,0.822,0,0.7178,1,0.7589,1,0.7473,0,0.7815,1,0.8011,0,0.8218,0,0.8699,1,0.7821,1,0.815,0,0.7266,1,0.8582,1,0.8481,1,0.913,1,0.7795,1,0.8487,0,0.808,1,0.7868,1,0.7849,1,0.7907,0,0.8502,0,0.8789,0,0.8282,0,0.8781,1,0.7021
91d93cb5,35264ba4,0.799,0.8702413028148321,0.7751497702931954,35,2026-01-28T16:20:36.492483,complete,precomputed,0.7,10,1,0.52,1.0,0.8,1.0,1,0.7971,1,0.8351,1,0.8703,1,0.9254,1,0.8354,1,0.8244,1,0.8368,1,0.7877,0,0.9008,1,0.8825,1,0.7988,1,0.8209,1,0.8709,0,0.8383,1,0.9169,1,0.8657,0,0.755,0,0.7866,0,0.7926,0,0.8647,0,0.7876,0,0.823,0,0.719,0,0.7135,0,0.7081,1,0.7481,1,0.73,1,0.8307,1,0.8709,1,0.8749,1,0.7239,1,0.8226,0,0.7144,1,0.7565,1,0.7426,0,0.7801,1,0.8001,0,0.8218,0,0.8709,1,0.7789,1,0.815,0,0.7266,1,0.8596,1,0.8481,1,0.9112,1,0.7772,1,0.8491,0,0.8017,1,0.7844,1,0.7798,1,0.781,0,0.8504,0,0.8755,0,0.8271,0,0.8783,1,0.7016
c41f7225,35264ba4,0.799,0.8702413028148321,0.7751497702931954,35,2026-01-28T16:20:36.640287,complete,precomputed,0.7,10,1,0.6,1.0,0.8,1.0,1,0.7971,1,0.8356,1,0.8681,1,0.9254,1,0.8354,1,0.8213,1,0.8371,1,0.7858,0,0.9008,1,0.8827,1,0.7988,1,0.8209,1,0.8709,0,0.8383,1,0.916,1,0.8634,0,0.7493,0,0.7872,0,0.7934,0,0.8611,0,0.7876,0,0.823,0,0.719,0,0.7125,0,0.7015,1,0.7464,1,0.7248,1,0.8283,1,0.8671,1,0.8749,1,0.7245,1,0.823,0,0.7119,1,0.7565,1,0.7411,0,0.7804,1,0.7982,0,0.8226,0,0.8647,1,0.7789,1,0.815,0,0.7278,1,0.8567,1,0.8481,1,0.9115,1,0.7754,1,0.8494,0,0.7978,1,0.7844,1,0.7798,1,0.7794,0,0.8508,0,0.8755,0,0.8257,0,0.8766,1,0.7003
d5886eca,35264ba4,0.799,0.8702413028148321,0.7751497702931954,35,2026-01-28T16:20:36.675829,complete,precomputed,0.7,10,1,0.36,1.0,0.8,1.0,1,0.7968,1,0.8368,1,0.872,1,0.9254,1,0.8354,1,0.8244,1,0.8377,1,0.7871,0,0.9026,1,0.882,1,0.8047,1,0.8225,1,0.8705,0,0.838,1,0.9182,1,0.8675,0,0.757,0,0.7862,0,0.7926,0,0.8647,0,0.7872,0,0.823,0,0.7185,0,0.7129,0,0.7131,1,0.7497,1,0.7332,1,0.8316,1,0.8709,1,0.8747,1,0.7234,1,0.8223,0,0.7182,1,0.7576,1,0.7463,0,0.7801,1,0.8011,0,0.8218,0,0.8701,1,0.7805,1,0.815,0,0.7266,1,0.8591,1,0.8481,1,0.913,1,0.7795,1,0.8489,0,0.8041,1,0.7868,1,0.7833,1,0.7874,0,0.8504,0,0.8749,0,0.8287,0,0.8781,1,0.7021
ea65b907,35264ba4,0.799,0.8702413028148321,0.7751497702931954,35,2026-01-28T16:20:36.714012,complete,precomputed,0.7,10,1,0.44,1.0,0.8,1.0,1,0.7971,1,0.8368,1,0.8703,1,0.9254,1,0.8354,1,0.8244,1,0.8377,1,0.7873,0,0.9008,1,0.8822,1,0.8003,1,0.8228,1,0.8705,0,0.838,1,0.9167,1,0.8675,0,0.757,0,0.7866,0,0.7926,0,0.8647,0,0.7876,0,0.823,0,0.719,0,0.7135,0,0.7108,1,0.7497,1,0.7305,1,0.8304,1,0.8709,1,0.8749,1,0.7234,1,0.8226,0,0.7144,1,0.7565,1,0.7441,0,0.7801,1,0.8001,0,0.8218,0,0.8706,1,0.7809,1,0.815,0,0.7266,1,0.8591,1,0.8481,1,0.9131,1,0.7772,1,0.8491,0,0.8017,1,0.7844,1,0.7816,1,0.783,0,0.8504,0,0.8752,0,0.8271,0,0.8783,1,0.7021
a2bb8846,35264ba4,0.7921,0.867690282406669,0.7712677827155557,34,2026-01-28T16:20:36.529102,complete,precomputed,0.7,10,1,0.84,1.0,0.8,1.0,1,0.7952,1,0.8331,1,0.8684,1,0.9151,1,0.8337,1,0.8218,1,0.8382,1,0.7845,0,0.9013,1,0.884,1,0.7988,1,0.8189,1,0.8712,0,0.839,1,0.9129,1,0.8646,0,0.7469,0,0.7794,0,0.794,0,0.8578,0,0.7848,0,0.8199,0,0.7173,0,0.713,0,0.7016,1,0.7306,1,0.7137,1,0.8272,1,0.8671,1,0.8754,1,0.7192,1,0.8211,0,0.7114,1,0.7484,1,0.7343,0,0.7742,1,0.7986,0,0.8171,0,0.8538,1,0.776,1,0.8168,0,0.7221,1,0.8567,1,0.8439,1,0.9115,1,0.7692,1,0.8476,0,0.7978,1,0.78,1,0.7764,1,0.7715,0,0.8396,0,0.8759,0,0.8271,0,0.8774,0,0.8495
a6b35483,35264ba4,0.7872,0.8707362560408779,0.7852402477749774,33,2026-01-28T16:20:36.565835,complete,precomputed,0.7,10,1,1.32,1.0,0.8,1.0,1,0.7776,0,0.8157,1,0.8555,1,0.9126,1,0.8201,1,0.8174,1,0.8287,1,0.7845,0,0.8998,1,0.8784,1,0.7848,1,0.8054,1,0.8669,0,0.8341,1,0.9086,1,0.8436,0,0.7259,0,0.7641,0,0.7822,0,0.8426,0,0.7776,0,0.8083,0,0.8543,0,0.7031,1,0.7918,1,0.7087,0,0.7141,1,0.8239,1,0.8597,1,0.8721,1,0.7087,1,0.7931,0,0.8167,1,0.7074,1,0.7039,0,0.7623,1,0.7738,0,0.8115,0,0.8513,1,0.7706,1,0.8126,0,0.7171,1,0.8411,1,0.8275,1,0.9097,1,0.7466,1,0.8379,0,0.7744,1,0.7601,1,0.7659,1,0.7459,0,0.8273,0,0.8602,0,0.8122,0,0.8504,0,0.8407
