seg_hash,clust_hash,AVG_SPEAKER_F1,AVG_CONV_F1,AVG_ARI,perfect_sessions,created,clus_linkage,clus_metric,clus_threshold,segm_max_chunk_size,segm_min_chunk_size,segm_min_duration_off,segm_min_duration_on,segm_offset,segm_onset,s00_eva,s00_conf,s01_eva,s01_conf,s02_eva,s02_conf,s03_eva,s03_conf,s04_eva,s04_conf,s22_eva,s22_conf,s23_eva,s23_conf,s24_eva,s24_conf,s25_eva,s25_conf,s26_eva,s26_conf,s27_eva,s27_conf,s28_eva,s28_conf,s29_eva,s29_conf,s30_eva,s30_conf,s45_eva,s45_conf,s46_eva,s46_conf,s47_eva,s47_conf,s58_eva,s58_conf,s59_eva,s59_conf,s60_eva,s60_conf,s61_eva,s61_conf,s62_eva,s62_conf,s63_eva,s63_conf,s64_eva,s64_conf,s65_eva,s65_conf,s66_eva,s66_conf,s67_eva,s67_conf,s68_eva,s68_conf,s69_eva,s69_conf,s70_eva,s70_conf,s71_eva,s71_conf,s72_eva,s72_conf,s83_eva,s83_conf,s84_eva,s84_conf,s85_eva,s85_conf,s86_eva,s86_conf,s87_eva,s87_conf,s88_eva,s88_conf,s89_eva,s89_conf,s90_eva,s90_conf,s91_eva,s91_conf,s92_eva,s92_conf,s93_eva,s93_conf,s94_eva,s94_conf,s95_eva,s95_conf,s96_eva,s96_conf,s97_eva,s97_conf,s98_eva,s98_conf,s99_eva,s99_conf,s100_eva,s100_conf,s101_eva,s101_conf,s102_eva,s102_conf,s103_eva,s103_conf,s104_eva,s104_conf,s105_eva,s105_conf,s106_eva,s106_conf
7484e574,35264ba4,0.7991,0.8632233802611954,0.7465966248710073,35,2026-01-28T16:23:31.642527,complete,precomputed,0.7,10,1,0.5,1.8,0.8,1.0,1,0.8115,1,0.8438,1,0.883,1,0.9374,1,0.8634,1,0.8465,1,0.8631,1,0.8056,0,0.9136,1,0.8996,1,0.8028,1,0.8458,0,0.707,1,0.878,1,0.9387,1,0.8864,0,0.7582,0,0.7947,0,0.7083,1,0.7067,0,0.8116,0,0.8242,0,0.7292,0,0.7389,0,0.7211,1,0.7688,1,0.7479,1,0.8471,1,0.9013,1,0.9046,1,0.7248,1,0.8542,0,0.7395,1,0.7962,1,0.7855,0,0.7828,1,0.837,0,0.8238,0,0.8806,0,0.7977,1,0.8218,0,0.7192,1,0.8823,1,0.8639,1,0.9143,1,0.795,1,0.862,0,0.801,1,0.8071,1,0.7841,1,0.8255,0,0.8945,0,0.8893,0,0.8418,0,0.7045,1,0.7264
05f1bf5f,35264ba4,0.799,0.8702413028148321,0.7751497702931954,35,2026-01-28T16:23:31.347542,complete,precomputed,0.7,10,1,0.5,1.16,0.8,1.0,1,0.8043,1,0.8385,1,0.874,1,0.9284,1,0.8452,1,0.8272,1,0.8451,1,0.7985,0,0.9086,1,0.8889,1,0.8032,1,0.8286,1,0.8737,0,0.8552,1,0.9225,1,0.8711,0,0.7552,0,0.7816,0,0.7916,0,0.8703,0,0.7876,0,0.8304,0,0.7263,0,0.7185,0,0.7212,1,0.758,1,0.7344,1,0.8378,1,0.8816,1,0.8822,1,0.7251,1,0.8306,0,0.7178,1,0.7647,1,0.7544,0,0.7869,1,0.82,0,0.8287,0,0.8696,1,0.7801,1,0.8115,0,0.7206,1,0.8648,1,0.8537,1,0.9107,1,0.7827,1,0.8482,0,0.7993,1,0.7906,1,0.7808,1,0.7934,0,0.8606,0,0.8792,0,0.8295,0,0.8823,1,0.7066
6463828e,35264ba4,0.799,0.8702413028148321,0.7751497702931954,35,2026-01-28T16:23:31.567549,complete,precomputed,0.7,10,1,0.5,1.0,0.8,1.0,1,0.7971,1,0.8351,1,0.8703,1,0.9254,1,0.8354,1,0.8244,1,0.8365,1,0.7873,0,0.9008,1,0.8822,1,0.7983,1,0.8228,1,0.8709,0,0.8383,1,0.9167,1,0.8657,0,0.755,0,0.7866,0,0.7926,0,0.8647,0,0.7876,0,0.823,0,0.719,0,0.7135,0,0.7108,1,0.7497,1,0.7305,1,0.8307,1,0.8709,1,0.8749,1,0.7234,1,0.8226,0,0.7144,1,0.7565,1,0.7441,0,0.7801,1,0.8001,0,0.8218,0,0.8706,1,0.7789,1,0.815,0,0.7266,1,0.8594,1,0.8481,1,0.9112,1,0.7772,1,0.8491,0,0.8017,1,0.7844,1,0.7816,1,0.783,0,0.8504,0,0.8755,0,0.8271,0,0.8783,1,0.7005
8a582251,35264ba4,0.799,0.8702413028148321,0.7751497702931954,35,2026-01-28T16:23:31.716782,complete,precomputed,0.7,10,1,0.5,1.08,0.8,1.0,1,0.8043,1,0.8385,1,0.8703,1,0.9284,1,0.8452,1,0.8272,1,0.8451,1,0.7985,0,0.9086,1,0.8893,1,0.8032,1,0.8286,1,0.8737,0,0.8507,1,0.9225,1,0.8683,0,0.7552,0,0.7827,0,0.7916,0,0.8703,0,0.7876,0,0.8261,0,0.7219,0,0.7161,0,0.7166,1,0.7551,1,0.7344,1,0.8378,1,0.8816,1,0.8822,1,0.7215,1,0.8261,0,0.7178,1,0.7618,1,0.755,0,0.7869,1,0.814,0,0.8287,0,0.8696,1,0.781,1,0.8115,0,0.7206,1,0.8648,1,0.8537,1,0.9107,1,0.7827,1,0.8482,0,0.7993,1,0.7906,1,0.7808,1,0.7934,0,0.8545,0,0.8743,0,0.8299,0,0.8824,1,0.7066
cf1cd57d,35264ba4,0.7924,0.8648841599576894,0.7655209187525792,35,2026-01-28T16:23:31.942508,complete,precomputed,0.7,10,1,0.5,0.92,0.8,1.0,1,0.7971,1,0.8351,1,0.8703,1,0.9254,1,0.8354,1,0.8192,1,0.834,1,0.7873,0,0.8973,1,0.8822,1,0.7951,1,0.8234,1,0.8709,0,0.8383,1,0.9133,1,0.8657,0,0.7515,0,0.7866,0,0.7903,0,0.8647,0,0.7876,0,0.8108,0,0.719,0,0.7135,0,0.7122,1,0.7472,1,0.7278,1,0.8307,1,0.8659,1,0.8749,1,0.7234,1,0.8186,0,0.7127,1,0.749,1,0.7414,0,0.7823,1,0.7974,0,0.824,0,0.8678,1,0.7796,1,0.809,0,0.7266,1,0.857,1,0.8481,1,0.9059,1,0.7772,1,0.8418,0,0.8017,1,0.7817,1,0.7816,1,0.783,0,0.8504,0,0.876,0,0.8277,0,0.8783,1,0.7005
9a0e3e95,35264ba4,0.7901,0.863098445671975,0.7614135065569317,34,2026-01-28T16:23:31.752366,complete,precomputed,0.7,10,1,0.5,1.32,0.8,1.0,1,0.8082,1,0.8385,1,0.8786,1,0.932,1,0.8452,1,0.8308,1,0.8451,1,0.8056,0,0.9077,1,0.8926,1,0.8073,1,0.8403,1,0.877,0,0.864,1,0.9219,1,0.8704,0,0.7634,0,0.7816,0,0.7916,0,0.8703,0,0.7864,0,0.8304,0,0.725,0,0.7231,0,0.7251,1,0.7642,1,0.7395,1,0.8371,1,0.8876,1,0.896,1,0.7229,1,0.8306,0,0.7202,1,0.7677,1,0.7612,0,0.7869,1,0.8265,0,0.8273,0,0.877,1,0.7801,1,0.8149,0,0.7206,1,0.8686,1,0.8532,1,0.9143,1,0.7859,1,0.8482,0,0.807,1,0.8016,1,0.7797,1,0.8096,0,0.8709,0,0.8832,0,0.8329,0,0.8858,0,0.7105
b44b0006,35264ba4,0.7901,0.863098445671975,0.7614135065569317,34,2026-01-28T16:23:31.868752,complete,precomputed,0.7,10,1,0.5,1.24,0.8,1.0,1,0.8084,1,0.8385,1,0.874,1,0.932,1,0.8452,1,0.8272,1,0.8451,1,0.7985,0,0.9082,1,0.8931,1,0.8073,1,0.8286,1,0.877,0,0.8587,1,0.9219,1,0.8704,0,0.7634,0,0.7816,0,0.7916,0,0.8703,0,0.7876,0,0.8304,0,0.725,0,0.7185,0,0.7221,1,0.7642,1,0.7395,1,0.8371,1,0.8876,1,0.8864,1,0.7241,1,0.8306,0,0.7202,1,0.7677,1,0.7576,0,0.7869,1,0.8265,0,0.8273,0,0.8678,1,0.7801,1,0.8164,0,0.7206,1,0.8648,1,0.8532,1,0.9109,1,0.7859,1,0.8482,0,0.7993,1,0.7943,1,0.7808,1,0.8013,0,0.8655,0,0.8785,0,0.8295,0,0.8862,0,0.7118
d16215c8,35264ba4,0.7901,0.863098445671975,0.7614135065569317,34,2026-01-28T16:23:31.979665,complete,precomputed,0.7,10,1,0.5,1.4,0.8,1.0,1,0.8073,1,0.8385,1,0.8786,1,0.932,1,0.8452,1,0.8308,1,0.8451,1,0.8056,0,0.9077,1,0.8966,1,0.8073,1,0.8403,1,0.8813,0,0.8704,1,0.9215,1,0.8795,0,0.7634,0,0.7943,0,0.7904,0,0.8697,0,0.7942,0,0.8294,0,0.725,0,0.728,0,0.7213,1,0.7642,1,0.7451,1,0.8401,1,0.8903,1,0.8994,1,0.7229,1,0.8361,0,0.7186,1,0.7714,1,0.7649,0,0.7869,1,0.8265,0,0.8257,0,0.877,1,0.7843,1,0.8133,0,0.7206,1,0.8681,1,0.8532,1,0.9143,1,0.7859,1,0.8482,0,0.807,1,0.8016,1,0.7786,1,0.8143,0,0.8701,0,0.8832,0,0.8325,0,0.8851,0,0.7105
3ed1eaa2,35264ba4,0.7888,0.8612021871685737,0.748587147344723,33,2026-01-28T16:23:31.530604,complete,precomputed,0.7,10,1,0.5,1.72,0.8,1.0,1,0.8127,1,0.8438,1,0.883,1,0.9374,1,0.8634,0,0.8465,1,0.8583,1,0.8056,0,0.9136,1,0.8974,1,0.8028,1,0.8403,1,0.8818,0,0.878,1,0.9319,1,0.8816,0,0.759,0,0.7947,0,0.7083,1,0.7031,0,0.8049,0,0.8351,0,0.7332,0,0.7389,0,0.7211,1,0.7688,1,0.7479,1,0.8456,1,0.9013,1,0.9046,1,0.7261,1,0.8511,0,0.7395,1,0.7962,1,0.7807,0,0.7828,1,0.837,0,0.8238,0,0.8806,0,0.7908,1,0.822,0,0.713,1,0.8766,1,0.8639,1,0.9143,1,0.7899,1,0.862,0,0.8032,1,0.8071,1,0.7841,1,0.8194,0,0.8827,0,0.8872,0,0.8356,0,0.7045,0,0.7239
34870e81,35264ba4,0.7886,0.8582259966923832,0.7479889350868468,33,2026-01-28T16:23:31.455401,complete,precomputed,0.7,10,1,0.5,1.64,0.8,1.0,1,0.8127,1,0.8438,1,0.8837,1,0.9374,1,0.8516,0,0.8416,1,0.8536,1,0.8056,0,0.9136,1,0.8974,1,0.804,1,0.8403,1,0.8818,0,0.8717,1,0.9306,1,0.8824,0,0.7606,0,0.8255,0,0.7057,1,0.7031,0,0.8049,0,0.8351,0,0.7332,0,0.7358,0,0.7236,1,0.7688,1,0.7532,1,0.8456,1,0.8958,1,0.8994,1,0.7277,1,0.8522,0,0.7253,1,0.7871,1,0.7807,0,0.7843,1,0.8377,0,0.8238,0,0.8822,0,0.7843,1,0.822,0,0.7157,1,0.8721,1,0.8639,1,0.9143,1,0.7852,1,0.862,0,0.8051,1,0.8016,1,0.7841,1,0.8194,0,0.8755,0,0.8849,0,0.8366,0,0.7045,0,0.7197
