seg_hash,clust_hash,AVG_SPEAKER_F1,AVG_CONV_F1,AVG_ARI,perfect_sessions,created,clus_linkage,clus_metric,clus_threshold,segm_max_chunk_size,segm_min_chunk_size,segm_min_duration_off,segm_min_duration_on,segm_offset,segm_onset,s00_eva,s00_conf,s01_eva,s01_conf,s02_eva,s02_conf,s03_eva,s03_conf,s04_eva,s04_conf,s22_eva,s22_conf,s23_eva,s23_conf,s24_eva,s24_conf,s25_eva,s25_conf,s26_eva,s26_conf,s27_eva,s27_conf,s28_eva,s28_conf,s29_eva,s29_conf,s30_eva,s30_conf,s45_eva,s45_conf,s46_eva,s46_conf,s47_eva,s47_conf,s58_eva,s58_conf,s59_eva,s59_conf,s60_eva,s60_conf,s61_eva,s61_conf,s62_eva,s62_conf,s63_eva,s63_conf,s64_eva,s64_conf,s65_eva,s65_conf,s66_eva,s66_conf,s67_eva,s67_conf,s68_eva,s68_conf,s69_eva,s69_conf,s70_eva,s70_conf,s71_eva,s71_conf,s72_eva,s72_conf,s83_eva,s83_conf,s84_eva,s84_conf,s85_eva,s85_conf,s86_eva,s86_conf,s87_eva,s87_conf,s88_eva,s88_conf,s89_eva,s89_conf,s90_eva,s90_conf,s91_eva,s91_conf,s92_eva,s92_conf,s93_eva,s93_conf,s94_eva,s94_conf,s95_eva,s95_conf,s96_eva,s96_conf,s97_eva,s97_conf,s98_eva,s98_conf,s99_eva,s99_conf,s100_eva,s100_conf,s101_eva,s101_conf,s102_eva,s102_conf,s103_eva,s103_conf,s104_eva,s104_conf,s105_eva,s105_conf,s106_eva,s106_conf
2868d163,35264ba4,0.8227,0.8791614617875122,0.7676646314570108,35,2026-01-28T16:25:00.722640,complete,precomputed,0.7,10,1,0.5,1.0,1.7,1.0,1,0.8281,1,0.8728,1,0.889,1,0.9393,1,0.8683,0,0.7122,1,0.8505,1,0.818,0,0.9176,1,0.9016,1,0.8318,1,0.8395,0,0.7012,0,0.8778,1,0.9331,1,0.8844,0,0.7682,0,0.7009,0,0.723,1,0.7095,0,0.8044,0,0.8456,0,0.7,0,0.7278,0,0.7287,1,0.78,1,0.7487,1,0.861,1,0.8725,1,0.9041,1,0.7562,1,0.8655,0,0.7637,1,0.7894,1,0.7969,0,0.7898,1,0.8387,0,0.8501,0,0.873,1,0.8011,1,0.8229,0,0.7289,1,0.8849,1,0.878,1,0.9264,1,0.8042,1,0.8629,0,0.8082,1,0.8157,1,0.799,1,0.8291,0,0.8769,1,0.7015,0,0.8546,0,0.8953,1,0.7228
225a452e,35264ba4,0.8173,0.8838042279849002,0.789974252072258,36,2026-01-28T16:25:00.686232,complete,precomputed,0.7,10,1,0.5,1.0,0.9,1.0,1,0.797,1,0.8446,1,0.878,0,0.9303,1,0.8433,1,0.8327,1,0.8428,1,0.7925,0,0.901,1,0.8837,1,0.8076,1,0.832,1,0.8738,0,0.8424,1,0.9233,1,0.8723,0,0.7611,0,0.7822,0,0.703,1,0.7005,0,0.7904,0,0.8308,0,0.7269,0,0.7142,0,0.7174,1,0.756,1,0.7343,1,0.8326,1,0.8719,1,0.8743,1,0.73,1,0.8295,0,0.738,1,0.766,1,0.7565,0,0.7812,1,0.8085,0,0.8287,0,0.8723,1,0.7832,1,0.816,0,0.726,1,0.8624,1,0.855,1,0.9174,1,0.7836,1,0.8538,0,0.8017,1,0.7872,1,0.7881,1,0.7937,1,0.8502,0,0.8777,0,0.8324,0,0.8796,1,0.7028
b556e570,35264ba4,0.8151,0.8820185136991859,0.7858668398766105,35,2026-01-28T16:25:01.161517,complete,precomputed,0.7,10,1,0.5,1.0,1.1,1.0,1,0.8085,1,0.8649,1,0.8807,0,0.9318,1,0.853,1,0.8403,1,0.848,1,0.809,0,0.9099,1,0.8852,1,0.8233,1,0.8329,1,0.8762,0,0.8531,1,0.9269,1,0.875,0,0.7681,0,0.7848,0,0.7167,1,0.7062,0,0.792,0,0.839,0,0.7386,0,0.7176,0,0.7249,1,0.7706,1,0.7302,1,0.8431,1,0.8744,1,0.8831,1,0.7458,1,0.851,0,0.748,1,0.7759,1,0.7734,0,0.7859,1,0.8178,0,0.8487,0,0.8716,1,0.7893,1,0.8197,0,0.7302,1,0.8744,1,0.8681,1,0.9224,1,0.7957,1,0.8602,0,0.8086,1,0.7964,1,0.7986,1,0.809,0,0.8589,0,0.8823,0,0.8416,0,0.8919,1,0.7158
9f78be39,35264ba4,0.8147,0.8702328903589408,0.7527836790760585,34,2026-01-28T16:25:01.087191,complete,precomputed,0.7,10,1,0.5,1.0,1.6,1.0,1,0.8215,1,0.8727,1,0.889,0,0.9299,1,0.8609,0,0.712,1,0.8507,1,0.818,0,0.9135,1,0.9026,1,0.8304,1,0.8399,0,0.701,0,0.8734,1,0.9334,1,0.8854,0,0.7679,0,0.7007,0,0.723,1,0.7096,0,0.8041,0,0.8456,0,0.7003,0,0.7244,0,0.7284,1,0.7802,1,0.7436,1,0.8551,1,0.8729,1,0.9041,1,0.7532,1,0.8648,0,0.7538,1,0.7865,1,0.7967,0,0.7898,1,0.8387,0,0.8525,0,0.8731,1,0.8009,1,0.8231,0,0.7293,1,0.8851,1,0.8775,1,0.9265,1,0.8056,1,0.8627,0,0.8086,1,0.8158,1,0.7988,1,0.8216,0,0.8635,1,0.7015,0,0.851,0,0.8956,1,0.72
0847c707,35264ba4,0.8082,0.8736851803658526,0.7756397760781182,35,2026-01-28T16:25:00.577601,complete,precomputed,0.7,10,1,0.5,1.0,1.0,1.0,1,0.8055,1,0.8501,1,0.8798,0,0.932,1,0.8465,1,0.8379,1,0.8465,1,0.7986,0,0.9038,1,0.8844,1,0.821,1,0.8326,1,0.8751,0,0.8512,1,0.926,1,0.8751,0,0.7646,0,0.7832,0,0.7151,1,0.7049,0,0.7914,0,0.8339,0,0.7337,0,0.7151,0,0.719,1,0.7649,1,0.7339,1,0.8356,1,0.8719,1,0.8774,1,0.7398,1,0.8403,0,0.7462,1,0.7709,1,0.7656,0,0.7864,1,0.814,0,0.8367,0,0.8725,1,0.7845,1,0.816,0,0.7286,1,0.869,1,0.8587,1,0.9195,1,0.7914,1,0.8584,0,0.807,1,0.7912,1,0.7955,1,0.8087,0,0.8554,0,0.8813,0,0.8359,0,0.8885,1,0.7121
18dc9488,35264ba4,0.8082,0.8748756565563288,0.7759462049559757,34,2026-01-28T16:25:00.648952,complete,precomputed,0.7,10,1,0.5,1.0,1.4,1.0,1,0.821,1,0.8684,1,0.889,0,0.9304,1,0.8571,0,0.7098,1,0.851,1,0.8117,0,0.9139,1,0.8939,1,0.8273,1,0.8361,1,0.8812,0,0.8689,1,0.9298,1,0.8794,0,0.7697,0,0.7841,0,0.7209,1,0.7102,0,0.8062,0,0.8418,0,0.7403,0,0.7242,0,0.7259,1,0.7796,1,0.7383,1,0.8495,1,0.8726,1,0.8961,1,0.7457,1,0.8554,0,0.7542,1,0.784,1,0.7867,0,0.7862,1,0.8332,0,0.8471,0,0.8725,1,0.7991,1,0.8224,0,0.7294,1,0.8799,1,0.8758,1,0.923,1,0.8009,1,0.8609,0,0.8098,1,0.8078,1,0.7984,1,0.8176,0,0.8587,0,0.8825,0,0.8519,0,0.8918,1,0.7202
6aad4512,35264ba4,0.8082,0.8748756565563288,0.7759462049559757,34,2026-01-28T16:25:00.904221,complete,precomputed,0.7,10,1,0.5,1.0,1.3,1.0,1,0.8164,1,0.8689,1,0.8859,0,0.931,1,0.857,0,0.7034,1,0.8511,1,0.8119,0,0.9139,1,0.8898,1,0.8235,1,0.8328,1,0.8797,0,0.8578,1,0.9295,1,0.8799,0,0.7705,0,0.7863,0,0.7206,1,0.7097,0,0.8073,0,0.8377,0,0.7435,0,0.7205,0,0.7273,1,0.7767,1,0.7348,1,0.8468,1,0.8724,1,0.8961,1,0.7453,1,0.856,0,0.7502,1,0.7764,1,0.7797,0,0.7866,1,0.8303,0,0.8481,0,0.8725,1,0.7944,1,0.8225,0,0.7291,1,0.8773,1,0.8715,1,0.923,1,0.7973,1,0.8608,0,0.8114,1,0.8077,1,0.7983,1,0.8175,0,0.8585,0,0.8828,0,0.8515,0,0.892,1,0.7176
863c01ba,35264ba4,0.8082,0.8748756565563288,0.7759462049559757,34,2026-01-28T16:25:00.977080,complete,precomputed,0.7,10,1,0.5,1.0,1.2,1.0,1,0.8133,1,0.8687,1,0.881,0,0.9317,1,0.8572,0,0.7003,1,0.8483,1,0.812,0,0.91,1,0.8887,1,0.8234,1,0.8327,1,0.8797,0,0.8608,1,0.9273,1,0.8787,0,0.7692,0,0.7844,0,0.717,1,0.7091,0,0.8026,0,0.8377,0,0.7391,0,0.7199,0,0.725,1,0.7739,1,0.7313,1,0.8478,1,0.8731,1,0.8921,1,0.7458,1,0.8566,0,0.7483,1,0.7764,1,0.7767,0,0.7862,1,0.8237,0,0.8478,0,0.8737,1,0.7899,1,0.8175,0,0.7307,1,0.8778,1,0.869,1,0.9229,1,0.796,1,0.8606,0,0.8087,1,0.8046,1,0.799,1,0.8092,0,0.8587,0,0.8821,0,0.8514,0,0.8926,1,0.7194
9cd02b95,35264ba4,0.8079,0.8676818699507775,0.7489016914984187,33,2026-01-28T16:25:01.051468,complete,precomputed,0.7,10,1,0.5,1.0,1.5,1.0,1,0.8212,1,0.8726,1,0.8892,0,0.9315,1,0.8611,0,0.7103,1,0.8511,1,0.8175,0,0.9135,1,0.9026,1,0.8274,1,0.84,0,0.7028,0,0.8733,1,0.9301,1,0.8828,0,0.7686,0,0.7006,0,0.7228,1,0.7091,0,0.8069,0,0.8457,0,0.7002,0,0.7242,0,0.7241,1,0.78,1,0.7435,1,0.8519,1,0.8723,1,0.8963,1,0.7495,1,0.8553,0,0.7543,1,0.7863,1,0.7862,0,0.7895,1,0.8336,0,0.8469,0,0.8725,1,0.8006,1,0.8223,0,0.7289,1,0.8851,1,0.8779,1,0.9264,1,0.8051,1,0.8607,0,0.8099,1,0.8085,1,0.7984,1,0.8209,0,0.8633,0,0.8821,0,0.8516,0,0.8921,1,0.7206
5a6ed88f,35264ba4,0.8046,0.8609981055359207,0.7369550806251574,34,2026-01-28T16:25:00.794322,complete,precomputed,0.7,10,1,0.5,1.0,1.8,1.0,1,0.8283,1,0.8731,1,0.8891,1,0.9395,1,0.8682,0,0.7114,1,0.8536,1,0.8176,0,0.9174,1,0.9004,1,0.8331,1,0.8474,0,0.7032,0,0.8872,1,0.9334,0,0.7069,0,0.7679,0,0.7008,0,0.7287,1,0.7127,0,0.8041,0,0.8459,0,0.742,0,0.7266,0,0.7319,1,0.7797,1,0.7483,1,0.861,1,0.8813,1,0.9042,1,0.7558,1,0.8714,0,0.7643,1,0.7895,1,0.7998,0,0.7893,1,0.8389,0,0.7005,0,0.8732,1,0.8015,1,0.823,0,0.7276,1,0.8895,1,0.8783,1,0.9262,1,0.8039,1,0.8662,0,0.8074,1,0.82,1,0.7993,1,0.8314,0,0.8768,1,0.7014,0,0.8543,0,0.8948,1,0.725
