seg_hash,clust_hash,AVG_SPEAKER_F1,AVG_CONV_F1,AVG_ARI,perfect_sessions,created,clus_linkage,clus_metric,clus_threshold,segm_max_chunk_size,segm_min_chunk_size,segm_min_duration_off,segm_min_duration_on,segm_offset,segm_onset,s00_eva,s00_conf,s01_eva,s01_conf,s02_eva,s02_conf,s03_eva,s03_conf,s04_eva,s04_conf,s22_eva,s22_conf,s23_eva,s23_conf,s24_eva,s24_conf,s25_eva,s25_conf,s26_eva,s26_conf,s27_eva,s27_conf,s28_eva,s28_conf,s29_eva,s29_conf,s30_eva,s30_conf,s45_eva,s45_conf,s46_eva,s46_conf,s47_eva,s47_conf,s58_eva,s58_conf,s59_eva,s59_conf,s60_eva,s60_conf,s61_eva,s61_conf,s62_eva,s62_conf,s63_eva,s63_conf,s64_eva,s64_conf,s65_eva,s65_conf,s66_eva,s66_conf,s67_eva,s67_conf,s68_eva,s68_conf,s69_eva,s69_conf,s70_eva,s70_conf,s71_eva,s71_conf,s72_eva,s72_conf,s83_eva,s83_conf,s84_eva,s84_conf,s85_eva,s85_conf,s86_eva,s86_conf,s87_eva,s87_conf,s88_eva,s88_conf,s89_eva,s89_conf,s90_eva,s90_conf,s91_eva,s91_conf,s92_eva,s92_conf,s93_eva,s93_conf,s94_eva,s94_conf,s95_eva,s95_conf,s96_eva,s96_conf,s97_eva,s97_conf,s98_eva,s98_conf,s99_eva,s99_conf,s100_eva,s100_conf,s101_eva,s101_conf,s102_eva,s102_conf,s103_eva,s103_conf,s104_eva,s104_conf,s105_eva,s105_conf,s106_eva,s106_conf
749b870a,35264ba4,0.8227,0.8791614617875122,0.7676646314570108,35,2026-01-28T16:25:56.184612,complete,precomputed,0.7,10,1,0.5,1.0,0.8,1.7,1,0.8401,1,0.8654,1,0.9027,1,0.952,1,0.8575,0,0.7075,1,0.8666,1,0.8039,0,0.9122,1,0.9005,1,0.8337,1,0.846,0,0.7085,0,0.8665,1,0.9428,1,0.8872,0,0.7714,0,0.7114,0,0.7292,1,0.7008,0,0.8144,0,0.8443,0,0.712,0,0.7345,0,0.7371,1,0.7758,1,0.7528,1,0.8701,1,0.8776,1,0.9068,1,0.7807,1,0.8491,0,0.7587,1,0.8025,1,0.7882,0,0.7879,1,0.831,0,0.8529,0,0.8987,1,0.8006,1,0.8385,0,0.7248,1,0.8949,1,0.8795,1,0.9243,1,0.8033,1,0.8611,0,0.8244,1,0.8158,1,0.8041,1,0.8333,0,0.8812,1,0.7223,0,0.8544,0,0.892,1,0.7285
f8057ed6,35264ba4,0.8207,0.8745696250528183,0.7578103552983869,35,2026-01-28T16:25:56.584238,complete,precomputed,0.7,10,1,0.5,1.0,0.8,1.8,1,0.8415,1,0.867,1,0.9036,1,0.9532,1,0.8586,0,0.7107,1,0.8727,1,0.8054,0,0.9129,1,0.9038,1,0.8372,1,0.8493,0,0.7106,0,0.8796,1,0.9462,1,0.8911,0,0.773,0,0.7128,0,0.7351,1,0.7093,0,0.8175,0,0.8456,0,0.7163,0,0.7373,0,0.7418,1,0.7825,1,0.7529,1,0.8708,1,0.8845,1,0.9084,1,0.7865,1,0.8506,0,0.7662,1,0.8085,1,0.7908,0,0.7869,1,0.8346,0,0.8527,0,0.8993,1,0.8034,1,0.8358,0,0.7234,1,0.8959,1,0.8821,1,0.9255,1,0.8046,1,0.8621,0,0.8239,1,0.8177,1,0.8071,1,0.8353,0,0.8822,1,0.7234,0,0.8576,0,0.702,1,0.7281
8a29cb04,35264ba4,0.8159,0.8720186046446551,0.7571604297763386,35,2026-01-28T16:25:56.292711,complete,precomputed,0.7,10,1,0.5,1.0,0.8,1.6,1,0.838,1,0.8618,1,0.9013,1,0.9508,1,0.856,0,0.7051,1,0.8603,1,0.8036,0,0.9041,1,0.9002,1,0.8269,1,0.8438,0,0.7072,0,0.8602,1,0.9386,1,0.8852,0,0.7691,0,0.7106,0,0.7261,1,0.7013,0,0.8153,0,0.8457,0,0.7061,0,0.7354,0,0.7371,1,0.7742,1,0.7469,1,0.8693,1,0.8783,1,0.9003,1,0.7778,1,0.8474,0,0.7482,1,0.7976,1,0.7822,0,0.7879,1,0.8282,0,0.8537,0,0.894,1,0.7991,1,0.8388,0,0.7247,1,0.89,1,0.8722,1,0.922,1,0.7993,1,0.8596,0,0.8202,1,0.8146,1,0.803,1,0.8264,0,0.8784,1,0.7129,0,0.8469,0,0.89,1,0.7272
7d0d186f,35264ba4,0.8093,0.881253207576737,0.7863616029992508,35,2026-01-28T16:25:56.256647,complete,precomputed,0.7,10,1,0.5,1.0,0.8,1.2,1,0.8085,1,0.8421,1,0.8797,1,0.9306,1,0.8405,1,0.8319,1,0.8459,1,0.791,0,0.9007,1,0.8891,1,0.8142,1,0.8315,1,0.8769,0,0.8442,1,0.9213,1,0.8745,0,0.7655,0,0.7973,0,0.7074,0,0.8696,0,0.7931,0,0.8231,0,0.7245,0,0.7255,0,0.7192,1,0.7611,1,0.7408,1,0.8469,1,0.878,1,0.879,1,0.737,1,0.8334,0,0.7251,1,0.7698,1,0.7612,0,0.7847,1,0.8091,0,0.8244,0,0.8761,1,0.7818,1,0.8226,0,0.7241,1,0.871,1,0.8599,1,0.9153,1,0.7842,1,0.8517,0,0.8096,1,0.7915,1,0.7841,1,0.794,0,0.8586,0,0.8814,0,0.8378,0,0.8836,1,0.7104
f9039365,35264ba4,0.8093,0.881253207576737,0.7863616029992508,35,2026-01-28T16:25:56.622829,complete,precomputed,0.7,10,1,0.5,1.0,0.8,1.3,1,0.818,1,0.8481,1,0.8864,1,0.9313,1,0.8454,1,0.8348,1,0.85,1,0.7923,0,0.9034,1,0.8902,1,0.816,1,0.8368,1,0.8779,0,0.85,1,0.9242,1,0.8786,0,0.7675,0,0.7985,0,0.7111,0,0.8765,0,0.7944,0,0.8274,0,0.7229,0,0.7294,0,0.7191,1,0.7655,1,0.7465,1,0.8506,1,0.88,1,0.8851,1,0.7425,1,0.8351,0,0.7236,1,0.7747,1,0.7703,0,0.7884,1,0.8155,0,0.8321,0,0.8782,1,0.7872,1,0.8392,0,0.7227,1,0.8771,1,0.8622,1,0.9168,1,0.7877,1,0.853,0,0.8125,1,0.7977,1,0.7866,1,0.8096,0,0.8698,0,0.8833,0,0.8438,0,0.8834,1,0.7129
35900604,35264ba4,0.8049,0.8584981964813897,0.7262169487049802,33,2026-01-28T16:25:56.031988,complete,precomputed,0.7,10,1,0.5,1.0,0.8,2.0,1,0.8438,1,0.878,1,0.9065,1,0.9584,1,0.8612,0,0.7174,1,0.881,1,0.8071,0,0.9128,1,0.9051,1,0.8508,1,0.8527,0,0.7147,0,0.8899,1,0.953,0,0.702,0,0.7769,0,0.7216,0,0.7444,1,0.7252,0,0.8169,0,0.8482,0,0.7248,0,0.7492,0,0.7546,1,0.787,1,0.7562,1,0.875,1,0.8978,1,0.9139,1,0.8074,1,0.8713,0,0.7687,1,0.8152,1,0.7986,0,0.7949,1,0.8438,0,0.8483,0,0.9,1,0.8152,1,0.835,0,0.7293,1,0.9059,1,0.8861,1,0.9271,1,0.8082,1,0.8687,0,0.8341,1,0.828,1,0.8118,1,0.8414,0,0.8885,1,0.7427,0,0.8677,0,0.7013,0,0.7365
0292d8c1,35264ba4,0.804,0.8605586360418293,0.732008454496486,33,2026-01-28T16:25:55.881750,complete,precomputed,0.7,10,1,0.5,1.0,0.8,1.9,1,0.8428,1,0.8735,1,0.905,1,0.9535,1,0.8593,0,0.7123,1,0.8802,1,0.8063,0,0.9123,1,0.9051,1,0.8432,1,0.8505,0,0.7128,0,0.8871,1,0.9519,1,0.8961,0,0.7751,0,0.7154,0,0.7414,1,0.7231,0,0.8182,0,0.8491,0,0.7193,0,0.7475,0,0.7479,1,0.7861,0,0.7507,1,0.8719,1,0.8976,1,0.9129,1,0.7963,1,0.8668,0,0.7679,1,0.813,1,0.7915,0,0.787,1,0.839,0,0.8541,0,0.8998,1,0.8089,1,0.835,0,0.7234,1,0.9039,1,0.8847,1,0.9262,1,0.806,1,0.8637,0,0.8261,1,0.8254,1,0.809,1,0.8397,0,0.8855,1,0.7328,0,0.8586,0,0.7011,0,0.7339
37c5e705,35264ba4,0.8025,0.8729198742434037,0.7761345392007585,35,2026-01-28T16:25:56.069418,complete,precomputed,0.7,10,1,0.5,1.0,0.8,1.1,1,0.8014,1,0.8401,1,0.8757,1,0.9292,1,0.8365,1,0.8297,1,0.8436,1,0.7909,0,0.9003,1,0.8868,1,0.8049,1,0.8239,1,0.873,0,0.839,1,0.9198,1,0.8683,0,0.7599,0,0.7898,0,0.7016,0,0.8685,0,0.7882,0,0.8229,0,0.7242,0,0.7171,0,0.7209,1,0.7578,1,0.7341,1,0.8433,1,0.8715,1,0.8764,1,0.7298,1,0.8291,0,0.7157,1,0.7623,1,0.7529,0,0.7808,1,0.8051,0,0.8241,0,0.8732,1,0.7814,1,0.8172,0,0.7258,1,0.8638,1,0.8579,1,0.9152,1,0.7813,1,0.8506,0,0.8019,1,0.7883,1,0.7823,1,0.7878,0,0.8541,0,0.878,0,0.8295,0,0.8823,1,0.7068
15d1393f,35264ba4,0.8013,0.8677327994134717,0.7654420032753034,34,2026-01-28T16:25:55.995220,complete,precomputed,0.7,10,1,0.5,1.0,0.8,1.4,1,0.8275,1,0.8514,1,0.8931,0,0.9332,1,0.8509,0,0.7006,1,0.8519,1,0.7984,0,0.9038,1,0.8988,1,0.8183,1,0.8402,1,0.8783,0,0.8557,1,0.9314,1,0.8808,0,0.7689,0,0.8021,0,0.7232,0,0.881,0,0.8042,0,0.839,0,0.7253,0,0.7314,0,0.7267,1,0.7703,1,0.7449,1,0.8548,1,0.8808,1,0.895,1,0.7479,1,0.8363,0,0.7329,1,0.7844,1,0.7718,0,0.788,1,0.8174,0,0.8327,0,0.8802,1,0.7892,1,0.8401,0,0.7233,1,0.8831,1,0.8674,1,0.9189,1,0.7966,1,0.8574,0,0.8129,1,0.8049,1,0.7887,1,0.8171,0,0.8719,1,0.7005,0,0.8437,0,0.888,1,0.7175
6463828e,35264ba4,0.799,0.8702413028148321,0.7751497702931954,35,2026-01-28T16:25:56.146458,complete,precomputed,0.7,10,1,0.5,1.0,0.8,1.0,1,0.7971,1,0.8351,1,0.8703,1,0.9254,1,0.8354,1,0.8244,1,0.8365,1,0.7873,0,0.9008,1,0.8822,1,0.7983,1,0.8228,1,0.8709,0,0.8383,1,0.9167,1,0.8657,0,0.755,0,0.7866,0,0.7926,0,0.8647,0,0.7876,0,0.823,0,0.719,0,0.7135,0,0.7108,1,0.7497,1,0.7305,1,0.8307,1,0.8709,1,0.8749,1,0.7234,1,0.8226,0,0.7144,1,0.7565,1,0.7441,0,0.7801,1,0.8001,0,0.8218,0,0.8706,1,0.7789,1,0.815,0,0.7266,1,0.8594,1,0.8481,1,0.9112,1,0.7772,1,0.8491,0,0.8017,1,0.7844,1,0.7816,1,0.783,0,0.8504,0,0.8755,0,0.8271,0,0.8783,1,0.7005
