seg_hash,clust_hash,AVG_SPEAKER_F1,AVG_CONV_F1,AVG_ARI,perfect_sessions,created,clus_linkage,clus_metric,clus_threshold,segm_max_chunk_size,segm_min_chunk_size,segm_min_duration_off,segm_min_duration_on,segm_offset,segm_onset
26e76748,f1bc2fcc,0.8854,0.9323,0.8918,45,2026-01-26T10:31:54.374221,complete,precomputed,0.87,16.08,18.84,0.41,0.13,1.5,0.101
04907a00,f1bc2fcc,0.8854,0.9323,0.8918,45,2026-01-26T09:02:39.489015,complete,precomputed,0.87,16.0,17.56,0.41,0.13,1.5,0.101
30695e68,f1bc2fcc,0.8848,0.9345,0.8927,45,2026-01-26T08:59:23.564168,complete,precomputed,0.87,15.72,16.8,0.41,0.17,1.6,0.101
9c0f4449,fa868052,0.8846,0.9347,0.8924,45,2026-01-26T11:09:41.642012,complete,precomputed,0.88,14.48,16.36,0.05,0.05,2.101,0.101
c0205d1f,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T10:45:57.781702,complete,precomputed,0.87,28.2,19.12,0.09,0.05,1.901,0.101
861f8783,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T12:40:27.980852,complete,precomputed,0.87,24.48,13.12,0.29,0.05,1.701,0.101
1f1b707a,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T08:40:31.672499,complete,precomputed,0.87,17.52,18.2,0.29,0.05,1.301,0.101
4c186c6e,fa868052,0.8846,0.9347,0.8924,45,2026-01-26T11:04:08.795946,complete,precomputed,0.88,15.96,16.36,0.05,0.05,2.101,0.101
67c52bc3,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T10:44:19.482801,complete,precomputed,0.87,26.44,19.24,0.09,0.05,1.901,0.101
8c08e356,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T12:40:41.291002,complete,precomputed,0.87,26.6,17.72,0.29,0.05,2.0,0.101
dece490b,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T10:13:54.422724,complete,precomputed,0.87,15.4,18.92,0.29,0.05,1.801,0.101
a6214810,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T11:07:49.400570,complete,precomputed,0.87,15.121,16.64,0.17,0.05,1.901,0.101
160f95c1,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T11:45:27.846616,complete,precomputed,0.87,28.561,16.44,0.17,0.05,1.701,0.101
f89e4eb3,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T10:43:00.615365,complete,precomputed,0.87,26.84,18.16,0.25,0.05,1.901,0.101
384d7fef,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T09:14:51.212443,complete,precomputed,0.87,17.6,17.44,0.33,0.05,1.801,0.101
16df5ac3,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T09:12:44.341039,complete,precomputed,0.87,17.88,17.16,0.29,0.05,1.701,0.101
3a6dd870,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T10:09:37.785655,complete,precomputed,0.87,17.6,18.08,0.25,0.05,2.0,0.101
a2b84dec,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T11:54:06.604136,complete,precomputed,0.87,16.44,16.4,0.211,0.05,1.701,0.101
4d5e78d3,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T08:52:04.634945,complete,precomputed,0.87,15.36,18.24,0.45,0.05,1.901,0.101
c52bba86,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T10:12:54.221209,complete,precomputed,0.87,16.32,18.68,0.25,0.05,1.801,0.101
529dca39,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T08:26:21.851434,complete,precomputed,0.87,17.92,17.44,0.33,0.05,1.801,0.101
348952b0,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T11:42:51.570196,complete,precomputed,0.87,27.72,16.2,0.25,0.05,1.701,0.101
c2e05c86,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T09:32:09.893502,complete,precomputed,0.87,18.84,16.68,0.211,0.05,1.201,0.101
7cc74573,f1bc2fcc,0.8846,0.9347,0.8924,45,2026-01-26T09:09:38.081554,complete,precomputed,0.87,16.6,17.6,0.33,0.05,1.801,0.101
d542d1d1,39de6082,0.8831,0.9265,0.8859,45,2026-01-26T08:42:50.870118,complete,precomputed,0.86,20.2,19.32,0.37,0.05,1.1,0.101
c9b61544,39de6082,0.8825,0.9245,0.8801,44,2026-01-26T08:50:18.940723,complete,precomputed,0.86,16.881,17.52,0.41,0.05,1.201,0.101
fd7e851a,39de6082,0.8825,0.9245,0.8801,44,2026-01-26T08:37:29.791802,complete,precomputed,0.86,16.96,17.4,0.41,0.05,1.301,0.101
70c3ce47,39de6082,0.882,0.926,0.8835,45,2026-01-26T08:33:01.141472,complete,precomputed,0.86,16.201,17.6,0.41,0.13,1.401,0.101
ec4eb15c,39de6082,0.8812,0.9284,0.8842,45,2026-01-26T08:33:40.042897,complete,precomputed,0.86,16.6,17.72,0.37,0.05,1.401,0.101
233ee6b5,39de6082,0.8812,0.9284,0.8842,45,2026-01-26T08:28:48.896645,complete,precomputed,0.86,17.16,17.44,0.37,0.05,1.5,0.101
e2969059,39de6082,0.8812,0.9284,0.8842,45,2026-01-26T08:27:25.491882,complete,precomputed,0.86,16.04,17.8,0.37,0.05,1.5,0.101
38b94778,39de6082,0.8812,0.9284,0.8842,45,2026-01-26T09:08:04.054550,complete,precomputed,0.86,17.52,17.12,0.37,0.05,1.401,0.101
5cfe6004,39de6082,0.8812,0.9284,0.8842,45,2026-01-26T08:28:25.552636,complete,precomputed,0.86,16.64,17.12,0.37,0.05,1.5,0.101
cdafe01d,39de6082,0.8812,0.9284,0.8842,45,2026-01-26T08:27:29.434175,complete,precomputed,0.86,16.0,17.2,0.37,0.05,1.6,0.101
