seg_hash,clust_hash,AVG_SPEAKER_F1,AVG_CONV_F1,AVG_ARI,perfect_sessions,created,clus_linkage,clus_metric,clus_threshold,segm_max_chunk_size,segm_min_chunk_size,segm_min_duration_off,segm_min_duration_on,segm_offset,segm_onset
e569b3da,fe4d7fe0,0.8853,0.9251,0.8788,43,2026-01-25T11:27:32.616456,complete,precomputed,0.85,12.121,3.761,1.57,0.691,3.601,3.0
1b864fda,fe4d7fe0,0.8853,0.9251,0.8788,43,2026-01-25T11:33:54.175755,complete,precomputed,0.85,15.121,1.6,1.57,0.691,3.101,3.0
171cb41d,695b8f2f,0.8853,0.9251,0.8788,43,2026-01-25T11:33:46.044165,complete,precomputed,0.84,15.16,2.16,1.61,0.691,3.301,3.0
ced3eeea,fe4d7fe0,0.8777,0.9191,0.8684,42,2026-01-25T11:23:11.722947,complete,precomputed,0.85,15.72,3.08,1.53,0.65,3.601,3.0
86e34837,fe4d7fe0,0.8777,0.9191,0.8684,42,2026-01-25T11:57:44.725281,complete,precomputed,0.85,13.16,4.24,1.57,0.571,3.601,3.0
9c337f1e,fe4d7fe0,0.8777,0.9191,0.8684,42,2026-01-25T11:32:57.729505,complete,precomputed,0.85,13.68,2.401,1.57,0.571,3.7,3.0
26e8758d,fe4d7fe0,0.8777,0.9191,0.8684,42,2026-01-25T11:44:02.373469,complete,precomputed,0.85,16.08,0.52,1.451,0.45,3.601,3.0
17fb7ae1,695b8f2f,0.8777,0.9191,0.8684,42,2026-01-25T11:44:53.449392,complete,precomputed,0.84,16.4,2.841,1.451,0.45,3.7,3.0
b9d547c6,fe4d7fe0,0.8777,0.9191,0.8684,42,2026-01-25T11:01:15.762547,complete,precomputed,0.85,13.96,3.12,1.451,0.45,3.601,3.0
8e8d054a,695b8f2f,0.8777,0.9191,0.8684,42,2026-01-25T11:01:07.756108,complete,precomputed,0.84,13.52,3.481,1.451,0.45,3.601,3.0
6461a4db,695b8f2f,0.8777,0.9191,0.8684,42,2026-01-25T11:55:54.525779,complete,precomputed,0.84,15.36,3.56,1.691,0.45,3.801,3.0
94ef00fe,fe4d7fe0,0.8777,0.9191,0.8684,42,2026-01-25T11:04:28.171427,complete,precomputed,0.85,17.52,2.6,1.37,0.45,3.7,3.0
