Time 0ms | Count: 0 | Speaker: None (Offscreen) | Persons: 
Time 40ms | Count: 0 | Speaker: None (Offscreen) | Persons: 
Time 80ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 120ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 160ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 200ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 240ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 280ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 320ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 360ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 400ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 440ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 480ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 520ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 560ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 600ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 640ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 680ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 720ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 760ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 800ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 840ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 880ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 920ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 960ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1000ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1040ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1080ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1120ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1160ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1200ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1240ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1280ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1320ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1360ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1400ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1440ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1480ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1520ms | Count: 0 | Speaker: None (Offscreen) | Persons: id:1 gender:None speaking:False
Time 1560ms | Count: 0 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:True
Time 1600ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:True
Time 1640ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 1680ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 1720ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 1760ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 1800ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 1840ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:True
Time 1880ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:True
Time 1920ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 1960ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2000ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2040ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2080ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2120ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2160ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:True
Time 2200ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:True
Time 2240ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2280ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2320ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2360ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:True
Time 2400ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:True
Time 2440ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2480ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2520ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2560ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2600ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2640ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2680ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2720ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2760ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2800ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2840ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2880ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2920ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
Time 2960ms | Count: 1 | Speaker: 1 (Onscreen) | Persons: id:1 gender:None speaking:False
