;threshold;linkage;tolerance;weight_by_length;non_linear;ARI_mean;Macro-F1_per_speaker_mean;Micro-F1_per_speaker_mean;ARI_std;Macro-F1_per_speaker_std;Micro-F1_per_speaker_std
28;0.8;average;0.5;False;;0.6909442827089886;0.7115555555555555;0.7872820512820513;0.3518721932334134;0.2738924723678128;0.2339074143779675
24;0.8;average;0.0;False;;0.6774683468801118;0.6960000000000001;0.769948717948718;0.33868737918460173;0.26988575543672977;0.23639470442199836
20;0.8;complete;0.5;False;;0.6629668534080299;0.6706666666666667;0.7411111111111112;0.3641175587549934;0.2977592034007959;0.2762446580680088
16;0.8;complete;0.0;False;;0.6629668534080299;0.6706666666666667;0.7411111111111112;0.3641175587549934;0.2977592034007959;0.2762446580680088
0;0.7;complete;0.0;False;;0.6490906716993673;0.7863365079365079;0.8152820512820513;0.4505477434056265;0.24508121522453225;0.23471229882779482
4;0.7;complete;0.5;False;;0.6490906716993673;0.7863365079365079;0.8152820512820513;0.4505477434056265;0.24508121522453225;0.23471229882779482
15;0.7;average;0.5;True;sigmoid;0.5646312863817609;0.5555555555555556;0.6526666666666666;0.3629881604015553;0.3075350025245546;0.2879691341484747
7;0.7;complete;0.5;True;sigmoid;0.552866580499408;0.5444444444444444;0.6446666666666667;0.353324545096247;0.2960814035546039;0.2809001404216254
11;0.7;average;0.0;True;sigmoid;0.5455836673341418;0.5448888888888889;0.6366666666666666;0.38870721260884733;0.3216697178899615;0.3116978594016256
3;0.7;complete;0.0;True;sigmoid;0.5338189614517889;0.5337777777777777;0.6286666666666667;0.37910809466192563;0.31035590879417263;0.3047592857030319
31;0.8;average;0.5;True;sigmoid;0.5205130232407273;0.5048888888888889;0.6040952380952381;0.35218003984660967;0.30025635137863427;0.3000570769588789
23;0.8;complete;0.5;True;sigmoid;0.5072777291230802;0.4937777777777778;0.5920952380952381;0.3511810039246734;0.29713163728647807;0.2979740511309538
19;0.8;complete;0.0;True;sigmoid;0.48823011007546113;0.4831111111111111;0.5760952380952381;0.37480140426710995;0.30961736640609633;0.3179301539118929
27;0.8;average;0.0;True;sigmoid;0.48823011007546113;0.4831111111111111;0.5760952380952381;0.37480140426710995;0.30961736640609633;0.3179301539118929
21;0.8;complete;0.5;False;sigmoid;0.44718590979460543;0.6865269841269841;0.6821391941391943;0.39371238840816974;0.2232055537255016;0.209575835135218
17;0.8;complete;0.0;False;sigmoid;0.44718590979460543;0.6865269841269841;0.6821391941391943;0.39371238840816974;0.2232055537255016;0.209575835135218
14;0.7;average;0.5;True;;0.4339879185752051;0.41288888888888886;0.5075238095238095;0.3598777410282033;0.2989806550577569;0.3338415717242804
6;0.7;complete;0.5;True;;0.4284323630196495;0.4022222222222222;0.4941904761904762;0.3692010090908567;0.3086089858912723;0.34693218507812723
10;0.7;average;0.0;True;;0.4212895058767924;0.3995555555555555;0.4955238095238096;0.35362965672333635;0.2947688778653959;0.3284612099470945
2;0.7;complete;0.0;True;;0.41573395032123683;0.38888888888888884;0.48219047619047617;0.3629190505691071;0.30406302140782315;0.3412894848536288
30;0.8;average;0.5;True;;0.3306411957218408;0.28888888888888886;0.3814285714285714;0.3285474546417275;0.2705458588269188;0.33348295961524255
22;0.8;complete;0.5;True;;0.3306411957218408;0.28888888888888886;0.3814285714285714;0.3285474546417275;0.2705458588269188;0.33348295961524255
8;0.7;average;0.0;False;;0.3242336407553799;0.632368253968254;0.6426666666666666;0.4035806805842087;0.19304829468719126;0.20646898599274113
18;0.8;complete;0.0;True;;0.2719545597771404;0.2293333333333333;0.3168571428571429;0.30970289097748177;0.23513337428724088;0.32119386139625933
26;0.8;average;0.0;True;;0.2719545597771404;0.2293333333333333;0.3168571428571429;0.30970289097748177;0.23513337428724088;0.32119386139625933
12;0.7;average;0.5;False;;0.2620114185331577;0.6014349206349207;0.6095238095238096;0.35672968851000547;0.16048385192017076;0.17774092588566617
1;0.7;complete;0.0;False;sigmoid;0.2512635712635713;0.6029206349206349;0.5914725274725275;0.3425338756783805;0.1839681416656052;0.17415885705597564
5;0.7;complete;0.5;False;sigmoid;0.2112635712635713;0.5853206349206349;0.5743296703296703;0.3095650847371808;0.16523112145447216;0.1528977191281532
29;0.8;average;0.5;False;sigmoid;0.10051069703243616;0.501168253968254;0.5163809523809524;0.25605311029710204;0.1516138022543251;0.16238070101921614
25;0.8;average;0.0;False;sigmoid;0.06305250305250305;0.49156825396825404;0.49809523809523815;0.2194029810902634;0.15264670160276664;0.1480883477190516
13;0.7;average;0.5;False;sigmoid;0.0;0.46543492063492065;0.4704761904761905;0.0;0.11214885260150326;0.11354522009667657
9;0.7;average;0.0;False;sigmoid;-0.006153846153846154;0.4574349206349207;0.4636190476190476;0.030147566065023734;0.11225116422555463;0.11241226359611627
